epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,9502.14,0.29084,0.23566,0.84151,0.93737,1,0.94985,0.94399,0.20721,1.40142,0.78831,0.007921,0.007921,0.007921
86,9613.85,0.28846,0.23289,0.8456,0.93794,1,0.94984,0.94392,0.20017,1.29534,0.78646,0.00789625,0.00789625,0.00789625
87,9725.05,0.29074,0.23651,0.84535,0.93786,1,0.95422,0.94656,0.2048,1.34349,0.78753,0.0078715,0.0078715,0.0078715
88,9836.94,0.29068,0.23797,0.84191,0.93753,1,0.95024,0.94576,0.20294,1.4028,0.78323,0.00784675,0.00784675,0.00784675
89,9948.27,0.28626,0.22829,0.84223,0.93747,1,0.97849,0.97044,0.20171,1.3208,0.78221,0.007822,0.007822,0.007822
90,10059.5,0.28503,0.23079,0.84212,0.93791,1,0.95272,0.94807,0.1987,1.34082,0.78031,0.00779725,0.00779725,0.00779725
91,10171.2,0.28597,0.22988,0.84062,0.93764,1,0.95073,0.94467,0.20679,1.38256,0.78083,0.0077725,0.0077725,0.0077725
92,10282.2,0.2862,0.22485,0.8418,0.93796,1,0.9544,0.94917,0.20427,1.34181,0.782,0.00774775,0.00774775,0.00774775
93,10393.4,0.29066,0.22947,0.84769,0.93751,1,0.96526,0.95706,0.20624,1.3554,0.78085,0.007723,0.007723,0.007723
94,10504.5,0.28776,0.23665,0.84231,0.93778,1,0.94814,0.94275,0.1949,1.33548,0.78087,0.00769825,0.00769825,0.00769825
95,10615.6,0.28118,0.23208,0.83902,0.93737,1,0.95699,0.95339,0.19519,1.37039,0.78479,0.0076735,0.0076735,0.0076735
96,10726.4,0.28545,0.2261,0.84232,0.93729,1,0.96983,0.96338,0.19984,1.34423,0.77956,0.00764875,0.00764875,0.00764875
97,10837.5,0.28621,0.23087,0.84404,0.93775,1,0.95067,0.945,0.19698,1.3273,0.78242,0.007624,0.007624,0.007624
98,10948.8,0.2876,0.22893,0.84249,0.93772,1,0.97453,0.96857,0.19648,1.34793,0.78388,0.00759925,0.00759925,0.00759925
99,11059.6,0.285,0.23293,0.84409,0.9379,1,0.96331,0.95829,0.194,1.30639,0.78686,0.0075745,0.0075745,0.0075745
100,11170.8,0.28595,0.23208,0.84265,0.93722,1,0.97276,0.96487,0.2027,1.36565,0.78673,0.00754975,0.00754975,0.00754975
101,11282.1,0.28091,0.2285,0.8396,0.93791,1,0.95102,0.94514,0.19602,1.38123,0.78758,0.007525,0.007525,0.007525
102,11393,0.27518,0.21664,0.83598,0.93764,1,0.94588,0.94154,0.19125,1.36294,0.78025,0.00750025,0.00750025,0.00750025
103,11503.9,0.28161,0.22475,0.84003,0.93758,1,0.95101,0.94472,0.20077,1.36724,0.77998,0.0074755,0.0074755,0.0074755
104,11615.2,0.28368,0.22253,0.83938,0.9378,1,0.95026,0.94259,0.19702,1.35532,0.78637,0.00745075,0.00745075,0.00745075
105,11726.4,0.2782,0.2198,0.84071,0.93785,1,0.94881,0.94242,0.19652,1.30958,0.78374,0.007426,0.007426,0.007426
106,11837.7,0.27804,0.21911,0.83793,0.93748,1,0.96569,0.96047,0.19741,1.35288,0.7866,0.00740125,0.00740125,0.00740125
107,11948.7,0.27409,0.21457,0.83752,0.93787,1,0.96183,0.95548,0.19799,1.35923,0.7875,0.0073765,0.0073765,0.0073765
108,12059.7,0.28337,0.23158,0.84693,0.93783,1,0.95161,0.94451,0.19985,1.35473,0.78985,0.00735175,0.00735175,0.00735175
109,12170.6,0.27673,0.21985,0.83709,0.93791,1,0.97033,0.9647,0.19342,1.34705,0.78482,0.007327,0.007327,0.007327
110,12281.5,0.27935,0.2212,0.84186,0.9375,1,0.95252,0.94639,0.19197,1.38129,0.78455,0.00730225,0.00730225,0.00730225
111,12393.1,0.27568,0.21473,0.83573,0.93763,1,0.96428,0.95953,0.19096,1.40392,0.78328,0.0072775,0.0072775,0.0072775
112,12504,0.27589,0.21734,0.84025,0.93799,1,0.95955,0.9563,0.19234,1.38361,0.78417,0.00725275,0.00725275,0.00725275
113,12615.1,0.27699,0.21403,0.83914,0.93749,1,0.95525,0.94984,0.19577,1.36552,0.7878,0.007228,0.007228,0.007228
114,12726.3,0.27811,0.21745,0.83746,0.9376,1,0.97903,0.97372,0.19411,1.38998,0.78454,0.00720325,0.00720325,0.00720325
115,12837.8,0.27642,0.21566,0.83739,0.93784,1,0.95775,0.95383,0.18641,1.37841,0.78371,0.0071785,0.0071785,0.0071785
116,12948.8,0.2769,0.226,0.83759,0.93756,1,0.96911,0.96461,0.19289,1.37429,0.78372,0.00715375,0.00715375,0.00715375
117,13060.4,0.27618,0.21279,0.83741,0.93745,1,0.95329,0.94807,0.18848,1.35963,0.7849,0.007129,0.007129,0.007129
118,13171.1,0.27448,0.21122,0.84049,0.93784,1,0.96142,0.95758,0.19007,1.36517,0.78263,0.00710425,0.00710425,0.00710425
119,13281.9,0.27206,0.21185,0.83281,0.93778,1,0.95016,0.94612,0.189,1.40917,0.78492,0.0070795,0.0070795,0.0070795
120,13393.5,0.27658,0.21757,0.84165,0.93787,1,0.95753,0.95377,0.18802,1.35594,0.78438,0.00705475,0.00705475,0.00705475
121,13504.6,0.27084,0.20807,0.83415,0.93757,1,0.95499,0.94948,0.18989,1.34316,0.78545,0.00703,0.00703,0.00703
122,13615.6,0.27736,0.21187,0.83868,0.93769,1,0.97271,0.96641,0.19216,1.3599,0.78407,0.00700525,0.00700525,0.00700525
